ethnicity,numerator,population,rate,rate_per_1000,date
Black,325,975,0.33,52.86,01/12/2019
Black,325,970,0.34,51.43,01/01/2020
Black,325,965,0.34,51.43,01/02/2020
Black,350,985,0.36,48.57,01/03/2020
Black,335,980,0.34,51.43,01/04/2020
Black,430,985,0.44,37.14,01/05/2020
Black,465,985,0.47,32.86,01/06/2020
Black,445,985,0.45,35.71,01/07/2020
Black,340,990,0.34,51.43,01/08/2020
Black,335,990,0.34,51.43,01/09/2020
Black,375,965,0.39,44.29,01/10/2020
Black,370,965,0.38,45.71,01/11/2020
Black,375,980,0.38,45.71,01/12/2020
Black,380,985,0.39,44.29,01/01/2021
Black,370,970,0.38,45.71,01/02/2021
Black,385,995,0.39,44.29,01/03/2021
Black,360,995,0.36,48.57,01/04/2021
Black,355,1000,0.36,48.57,01/05/2021
Black,370,1000,0.37,47.14,01/06/2021
Black,365,1005,0.36,48.57,01/07/2021
Black,360,1020,0.35,50,01/08/2021
Black,370,1020,0.36,48.57,01/09/2021
Black,430,1035,0.42,40,01/10/2021
Black,435,1035,0.42,40,01/11/2021
Black,425,1030,0.41,41.43,01/12/2021
Black,430,1030,0.42,40,01/01/2022
Black,405,1035,0.39,44.29,01/02/2022
Black,370,1030,0.36,48.57,01/03/2022
Black,320,1020,0.31,47.5,01/04/2022
Black,345,1020,0.34,48.9,01/05/2022
Black,385,1040,0.37,47.14,01/06/2022
Black,390,1035,0.38,45.71,01/07/2022
Black,365,1050,0.35,44.7,01/08/2022
Mixed,200,575,0.35,50,01/12/2019
Mixed,220,575,0.38,45.71,01/01/2020
Mixed,225,575,0.39,44.29,01/02/2020
Mixed,200,565,0.35,50,01/03/2020
Mixed,210,575,0.37,47.14,01/04/2020
Mixed,250,585,0.43,38.57,01/05/2020
Mixed,290,580,0.5,28.57,01/06/2020
Mixed,290,585,0.5,28.57,01/07/2020
Mixed,250,610,0.41,41.43,01/08/2020
Mixed,230,605,0.38,45.71,01/09/2020
Mixed,250,610,0.41,41.43,01/10/2020
Mixed,265,615,0.43,38.57,01/11/2020
Mixed,240,610,0.39,44.29,01/12/2020
Mixed,240,625,0.38,45.71,01/01/2021
Mixed,250,625,0.4,42.86,01/02/2021
Mixed,250,615,0.41,41.43,01/03/2021
Mixed,245,625,0.39,44.29,01/04/2021
Mixed,230,630,0.37,47.14,01/05/2021
Mixed,225,630,0.36,48.57,01/06/2021
Mixed,235,630,0.37,47.14,01/07/2021
Mixed,235,635,0.37,47.14,01/08/2021
Mixed,225,625,0.36,48.57,01/09/2021
Mixed,235,625,0.38,45.71,01/10/2021
Mixed,250,625,0.4,42.86,01/11/2021
Mixed,265,630,0.42,40,01/12/2021
Mixed,250,625,0.4,42.86,01/01/2022
Mixed,230,610,0.38,45.71,01/02/2022
